sentences; annotated meaning;trigger;syntactic pattern; concept studied; focused relations
eu penso terem a convidado;  (PHYSICAL-OBJECT ?I) (HER ?I) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (THINKING ?X ?V) (THINKER ?X ?ACTOR) (THINKEE ?X ?W) (THINK ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (ME ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (PREDICATE-FOCUS ?X ?I) (BEFORE ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1);complex verbs;S-V-InflectedINF-DO-PPL; complex verbs; ?I
e possivel eles convidarem a; (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PERSON-BEING ?X ?V) (BE-PERMANENT ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (PHYSICAL-OBJECT ?I) (HER ?I) (POSSIBLE ?X) (NEGATION ?V) (PHYSICAL-OBJECT ?ACTOR) (THEY-MASCULINE ?ACTOR);enclisis;V-Compl-S-InflectedINF-DO; possibility; ?I  
e possivel eles a convidarem;  (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PERSON-BEING ?X ?V) (BE-PERMANENT ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (PHYSICAL-OBJECT ?I) (HER ?I) (POSSIBLE ?X) (NEGATION ?V) (PHYSICAL-OBJECT ?ACTOR) (THEY-MASCULINE ?ACTOR);relative clause;V-Compl-S-DO-InflectedINF; possibility; ?I
todos os rapazes me ajudaram;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (ALL ?ACTOR) (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPER ?X ?ACTOR) (HELPED ?X ?Z) (HELP ?X) (PERSON ?Z) (ME ?Z);downward quantifier;S-DO-V; quantified subject; ?ACTOR ?Z  
sempre me perguntaram por ti; (FOR ?X ?Z) (PERSON ?Z) (YOU ?Z) (ALWAYS ?X) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (ASKED ?X ?Z) (ASKER ?X ?ACTOR) (ASKEE ?X ?W) (ASK ?X) (PERSON ?W) (ME ?W);operator adverb;Adv-IO-V-DO; preposition usage; ?W
os alunos telefonaram lhe todos;  (MASCULINE ?ACTOR) (MULTIPLE ?ACTOR) (STUDENT ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?ACTOR) (ALL ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (CALLER ?X ?ACTOR) (CALLED ?X ?Z) (CALL ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);enclisis;S-V-IO-Quant; exception (quantified subject); ?ACTOR ?Z
este livro te dou eu;  (PERSON ?W) (YOU ?W) (REFERENT-NEARBY ?O) (SINGLE ?O) (BOOK ?O) (TOPIC ?X ?O) (PERSON ?ACTOR) (ME ?ACTOR) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?O) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (OVERLAPS ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?ACTOR);fronted focus;DO-IO-V-S; fronted focus; ?W ?O ?ACTOR
de este livro me lembro eu;  (REFERENT-NEARBY ?O) (BOOK ?O) (SINGLE ?O) (PERSON ?ACTOR) (ME ?ACTOR) (OF ?X ?O) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (REMEMBRANCE ?X ?O) (REMEMBERER ?X ?ACTOR) (REMEMBREE ?X ?W) (REMEMBER ?X) (PERSON ?W) (ME ?W);fronted focus;PP-Refl-V-S; preposition usage; ?W ?ACTOR  
o paulo deu me um livro;  (PERSON ?W) (ME ?W) (UNIQUE ?P) (NOT-UNIQUE ?B) (PAULO ?P) (PERSON ?P) (TOPIC ?X ?P) (BOOK ?B) (SINGLE ?B) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?P) (GIFT ?X ?B) (ACT-DONE-BY-HIM/HER ?EVENT ?P) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?B);enclisis;S-V-IO-DO; cliticization; ?W ?P  
ele pensa dar me um livro; (NOT-UNIQUE ?B) (PHYSICAL-OBJECT ?ACTOR) (HIM ?ACTOR) (PERSON ?W) (ME ?W) (BOOK ?B) (SINGLE ?B) (THINK ?X) (THINKEE ?X ?Z) (THINKER ?X ?ACTOR) (THINKING ?X ?V) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (OVERLAPS ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?B) (GIVE ?V) (GIVEE ?V ?W) (GIVER ?V ?ACTOR) (GIFT ?X ?B);enclisis;S-V-INF-IO-DO; complex verbs; ?W
eu sei que ele o encontrara;  (PHYSICAL-OBJECT ?Z) (HIM ?Z) (THAT ?R ?X) (SUBORDINATION ?R ?V) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (KNOWER ?X ?ACTOR) (KNOWLEDGE ?X ?V) (KNOW ?X) (ME ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (AFTER ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1) (ACT-DONE-BY-HIM/HER ?EVENT1 ?ACTOR1) (FINDER ?V ?ACTOR1) (FINDING ?V ?Z) (FIND ?V) (PHYSICAL-OBJECT ?ACTOR1) (HIM ?ACTOR1);relative clause;S-V-Compl-S-DO-V; complex verbs; ?Z  
de este livro me lembro bem;  (WELL ?X) (OF ?X ?B) (BOOK ?B) (SINGLE ?B) (REFERENT-NEARBY ?B) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (REMEMBRANCE ?X ?B) (REMEMBERER ?X ?ACTOR) (REMEMBREE ?X ?W) (REMEMBER ?X) (PERSON ?W) (ME ?W);fronted focus;PP-Refl-V-Adv; preposition usage; ?W
eles vieram ca para me visitar; (THEY-MASCULINE ?ACTOR) (PHYSICAL-OBJECT ?ACTOR) (TOPIC ?X ?ACTOR) (PERSON ?M) (ME ?M) (TO ?V) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (COMER ?X ?ACTOR) (COME ?X) (HERE ?X) (VISIT ?V) (visiter ?V ?ACTOR) (visited ?V ?M);relative clause;S-V-Adv-PP; complex verbs; ?M 
eles vieram ca para me visitarem; (THEY-MASCULINE ?ACTOR) (PHYSICAL-OBJECT ?ACTOR) (TOPIC ?X ?ACTOR) (PERSON ?M) (ME ?M) (TO ?V) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (COMER ?X ?ACTOR) (COME ?X) (HERE ?X) (VISIT ?V) (visiter ?V ?ACTOR) (visited ?V ?M);relative clause;S-V-Adv-PP; complex verbs; ?M 
todas estas flores me ofereceram eles;  (PERSON ?W) (ME ?W) (REFERENT-NEARBY ?O) (ALL ?O) (FLOWER ?O) (MULTIPLE ?O) (PHYSICAL-OBJECT ?ACTOR) (THEY-MASCULINE ?ACTOR) (OFFER ?X) (OFFEREE ?X ?W) (OFFERER ?X ?ACTOR) (OFFERANCE ?X ?O) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?ACTOR);fronted focus;DO-IO-V-S; quantified subject; ?W ?ACTOR ?O
a_quem nao deu o pedro flores;  (FLOWER ?O) (MULTIPLE ?O) (NEGATION ?X) (UNIQUE ?ACTOR) (UNDEFINED-REFERENT ?W) (TOPIC ?X ?W) (PERSON ?ACTOR) (PEDRO ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (GIFT ?X ?O) (GIVER ?X ?ACTOR) (GIVEE ?X ?W) (GIVE ?X) (PREDICATE-FOCUS ?X-7093 ?O);wh question, negation;IO-not-V-S-DO; wh question; ?W ?ACTOR  
o joao nao me deu o livro; (BOOK ?Z) (SINGLE ?Z) (NEGATION ?X) (UNIQUE ?Z) (UNIQUE ?ACTOR) (PERSON ?W) (ME ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z) (JOAO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR); negation; S-not-IO-V-DO; negation; ?X ?W
o paulo nao me deu um livro;  (BOOK ?Z) (SINGLE ?Z) (NEGATION ?X) (NOT-UNIQUE ?Z) (UNIQUE ?ACTOR) (PERSON ?W) (ME ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z) (PAULO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR); negation; S-not-IO-V-DO; negation; ?X ?W
so o pedro me deu uma prenda; (GIFT ?Z) (SINGLE ?Z) (JUST ?ACTOR) (UNIQUE ?ACTOR) (NOT-UNIQUE ?Z) (PERSON ?W) (ME ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z) (TOPIC ?X ?ACTOR) (PERSON ?ACTOR) (PEDRO ?ACTOR); downward quantifier;S-IO-V-DO; quantified subject; ?ACTOR ?W
ele pensa nao me dar um livro; (PERSON ?W) (ME ?W) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (THINKING ?X ?V) (THINKER ?X ?ACTOR) (THINKEE ?X ?W) (THINK ?X) (NEGATION ?V) (NOT-UNIQUE ?Z) (PHYSICAL-OBJECT ?ACTOR) (HIM ?ACTOR) (TOPIC ?X ?ACTOR) (BOOK ?Z) (SINGLE ?Z) (GIVEE ?V ?W) (GIFT ?V ?Z) (GIVER ?V ?ACTOR) (GIVE ?V) (PREDICATE-FOCUS ?X ?Z) ; negation, complex verbs; S-V-not-IO-V-DO; complex verbs; ?W
ate o pedro me deu uma prenda; (PERSON ?Z) (ME ?Z) (PERSON ?ACTOR) (PEDRO ?ACTOR) (UNIQUE ?ACTOR) (NOT-UNIQUE ?W) (GIFT ?W) (SINGLE ?W) (EVEN ?ACTOR) (TOPIC ?X ?ACTOR)  (GIVE ?X) (GIVEE ?X ?Z) (GIVER ?X ?ACTOR) (GIFT ?X ?W) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W);  downward quantifier;S-IO-V-DO; quantified subject; ?ACTOR ?Z
tambem o pedro me deu uma prenda; (GIFT ?Z) (SINGLE ?Z) (ALSO ?ACTOR) (UNIQUE ?ACTOR) (NOT-UNIQUE ?Z) (PERSON ?W) (ME ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z) (PERSON ?ACTOR) (PEDRO ?ACTOR); downward quantifier;S-IO-V-DO; quantified subject; ?ACTOR ?W
eles disseram que o joao te magoou; (PHYSICAL-OBJECT ?ACTOR) (THEY-MASCULINE ?ACTOR) (TOPIC ?X ?ACTOR) (SAY ?X) (SAYEE ?X ?Y) (SAYER ?X ?ACTOR) (SAYING ?X ?V) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?R) (PERSON ?Z) (YOU ?Z) (UNIQUE ?W)(THAT ?R) (SUBORDINATION ?R ?X ?V) (PERSON ?W) (JOAO ?W) (BEFORE ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1) (ACT-DONE-BY-HIM/HER ?EVENT1 ?W) (HURTING ?V ?Z) (HURTER ?V ?W) (HURTEE ?V ?Z) (HURT ?V); relative clause;S-V-Compl-S-IO-V; relative clause; ?Z 
disseram que o paulo ganhou o premio;  (SAY ?X) (SAYEE ?X ?W) (SAYER ?X ?ACTOR1) (SAYING ?X ?V) (ACT-DONE-BY-THEM ?EVENT ?ACTOR1) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?R) (PRIZE ?P) (SINGLE ?P) (UNIQUE ?P) (THAT ?R) (SUBORDINATION ?R ?X ?V) (WIN ?V) (WINNEE ?V ?W) (WINNER ?V ?ACTOR) (WINNED ?V ?P) (ACT-DONE-BY-HIM/HER ?EVENT1 ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO1) (BEFORE ?EVENT1 ?ORIGO1) (TOPIC ?V ?ACTOR) (PREDICATE-FOCUS ?V ?P) (UNIQUE ?ACTOR) (PERSON ?ACTOR) (PAULO ?ACTOR); enclisis, relative clause;V-Compl-S-V-DO; relative clause; ?R
tinha as a teresa acabado de comprar; (TOPIC ?X ?U) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?U) (OWNED ?X ?V) (OWNER ?X ?U) (OWNEE ?X ?U1) (OWN ?X) (PHYSICAL-OBJECT ?Z) (THEY-FEMININE ?Z) (PREDICATE-FOCUS ?X ?Y) (OF ?V ?V1) (BUY ?V1) (BUYER ?V1 ?Y) (BOUGHT ?V1 ?Z) (UNIQUE ?Y) (PERSON ?Y) (TERESA ?Y) (FINISHER ?V ?Y) (FINISHED ?V ?V1) (FINISHEE ?V ?U) (FINISH ?V) (TOPIC ?V ?Y) (PREDICATE-FOCUS ?X ?Z); complex verbs;V-DO-S-V-V; complex verbs; ?Z
com_certeza a joana deu lhe um pontape; (NOT-UNIQUE ?Z) (KICK ?Z) (SINGLE ?Z) (PHYSICAL-OBJECT ?W) (HIM ?W) (UNIQUE ?ACTOR) (PERSON ?ACTOR) (JOANA ?ACTOR) (SURELY ?X) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (TOPIC ?X ?ACTOR) (PREDICATE-FOCUS ?X ?Z); enclisis, non-operator adverb; Adv-S-V-IO-DO; enclisis; ?W ?ACTOR
onde tinha a teresa comprado as flores;  (PERSON ?ACTOR) (TERESA ?ACTOR) (UNIQUE ?ACTOR) (FLOWER ?Z) (MULTIPLE ?Z) (UNIQUE ?Z) (UNDEFINED-PLACE ?W) (TOPIC ?X ?W)  (PREDICATE-FOCUS ?X ?Z) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (OWNED ?X ?V) (OWNER ?X ?ACTOR) (OWNEE ?X ?U) (OWN ?X) (BUY ?V) (BUYER ?V ?ACTOR) (BOUGHT ?V ?Z); enclisis, wh-question, complex verbs; Rel-V-S-V-DO; enclisis; ?W
o pedro encontrou os porque os procurou; (PEDRO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR)  (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PREDICATE-FOCUS ?X ?Z) (FIND ?X) (FINDING ?X ?Z) (FINDER ?X ?ACTOR) (PHYSICAL-OBJECT ?Z) (THEY-MASCULINE ?Z) (BECAUSE ?R) (?CAUSES ?R ?X ?V) (SUBORDINATION ?R ?V (BEFORE ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1) (ACT-DONE-BY-HIM/HER ?EVENT1 ?ACTOR) (SEARCH ?V) (SEARCHER ?V ?ACTOR) (SEARCHING ?V ?Z1) (SEARCHEE ?V ?Y) (PHYSICAL-OBJECT ?Z1) (THEY-MASCULINE ?Z1);relative clause; S-V-DO-Compl-DO-V; relative clause; ?Z ?Z1
todas as criancas nos disseram a verdade; (CHILDREN ?ACTOR) (ALL ?ACTOR) (MULTIPLE ?ACTOR) (FEMININE ?ACTOR) (UNIQUE ?ACTOR) (TOPIC ?X ?ACTOR) (SAY ?X) (SAYEE ?X ?Z) (SAYER ?X ?ACTOR) (SAYING ?X ?O) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?O) (PERSON ?Z) (WE ?Z) (TRUTH ?O) (SINGLE ?O) (UNIQUE ?O); downward quantifier;S-IO-V-DO; quantified subject; ?ACTOR ?Z
as pessoas a_quem o contamos ficaram supreendidas;  (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (UNDEFINED-REFERENT ?ACTOR1) (TOPIC ?X ?ACTOR)  (ACT-DONE-BY-US ?EVENT ?ACTOR) (TELLING ?X ?Z) (TELLER ?X ?ACTOR) (TELLEE ?X ?ACTOR1) (TELL ?X) (PERSON ?ACTOR1) (MULTIPLE ?ACTOR1) (TOPIC ?V ?ACTOR1) (UNIQUE ?ACTOR1)  (BEFORE ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1) (ACT-DONE-BY-THEM ?EVENT1 ?ACTOR1) (STAYING ?V ?O) (STAYER ?V ?ACTOR1) (STAYEE ?X ?ACTOR) (STAY ?V) (SURPRISED ?O) (PHYSICAL-OBJECT ?Z) (HIM ?Z); relative clause, complex verbs; IO-Compl-DO-V-V-Adj; complex verbs; ?ACTOR1 ?Z
o miguel encontra a em o cinema;  (UNIQUE ?C) (CINEMA ?C) (SINGLE ?C) (IN ?Z ?C) (UNIQUE ?ACTOR) (MIGUEL ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (PHYSICAL-OBJECT ?Z) (HER ?Z) (TOPIC ?EVENT ?X) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (FINDER ?X ?ACTOR) (FINDING ?X ?Z) (FIND ?X); enclisis, prepositional sentence; S-V-DO-IO; enclisis; ?ACTOR ?Z
o pedro encontrou a em o cinema;  (UNIQUE ?ACTOR) (IN ?Z ?C) (UNIQUE ?C) (CINEMA ?C) (SINGLE ?C) (UNIQUE ?C) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (FINDER ?X ?ACTOR) (FINDING ?X ?Z) (FIND ?X) (PEDRO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) ; enclisis, prepositional sentence; S-V-DO-IO; enclisis; ?ACTOR ?Z
